sample,D,extractant,abbreviation,[extracant]_M,org_ligand,[org_ligand]_M,organic_diluent,acid,[acid]_M,T_K,contact_time,contact_time_units,additional_info
Ho,0.00043,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Er,0.000607,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Yb,0.000801,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Zr(IV),0.00255,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Zr(IV),0.00441,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Zr(IV),0.01,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Zr(IV),0.0732,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Zr(IV),0.00363,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Zr(IV),0.00579,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Zr(IV),0.0187,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Zr(IV),0.148,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Ni,0.0151,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Ni,0.0174,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Ni,0.0363,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Ni,0.1,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Ni,0.0263,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Ni,0.0363,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Ni,0.0661,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Ni,0.182,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Co,0.288,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Co,0.525,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Co,1.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Co,3.16,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Co,0.832,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Co,1.26,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Co,2.29,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Co,13.8,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Mn,2.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Mn,3.8,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Mn,9.55,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Mn,38.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Mn,11.5,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Mn,20.9,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Mn,57.5,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Mn,794.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Zn,7.94,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Zn,15.8,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Zn,31.6,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Zn,50.1,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Zn,50.1,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Zn,174.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Zn,631.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Cu,631.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Cu,1.32,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Cu,3.8,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Cu,3.98,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Cu,1.38,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Ni,0.194,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,0.1,293.15,240,min,0.5M bromohexanoic acid
Ni,0.21,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Ni,0.245,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Ni,0.324,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Ni,0.501,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,1.0,293.15,240,min,0.5M bromohexanoic acid
Ni,0.341,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.1,293.15,240,min,0.5M bromohexanoic acid
Ni,0.369,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Ni,0.43,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Ni,0.555,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Ni,1.03,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,1.0,293.15,240,min,0.5M bromohexanoic acid
Ni,0.599,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.1,293.15,240,min,0.5M bromohexanoic acid
Ni,0.664,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Ni,0.699,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Ni,0.88,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Ni,1.47,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,1.0,293.15,240,min,0.5M bromohexanoic acid
Fe,1.71,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Fe,0.441,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Fe,0.0815,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Fe,4.41,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Fe,0.717,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Fe,0.103,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Co,2.1,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Co,3.98,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Co,12.3,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Co,10.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Co,20.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Co,111.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Pb,76.9,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Pb,45.4,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Pb,37.3,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Pb,45.4,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,tert-butylbenzene,HNO3,1.0,293.15,240,min,0.5M bromohexanoic acid
Pb,611.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Pb,338.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.3,293.15,240,min,0.5M bromohexanoic acid
Pb,385.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,0.5,293.15,240,min,0.5M bromohexanoic acid
Pb,454.0,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.02,,,tert-butylbenzene,HNO3,1.0,293.15,240,min,0.5M bromohexanoic acid
Zr,6.31,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,tert-butylbenzene,HNO3,0.2,293.15,240,min,0.5M bromohexanoic acid
Lu,0.000808,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Am,0.0141,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.2,293.15,240,min,
Y,5.78e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
La,4.53e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Ce,8.03e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Pr,3.42e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Nd,6.16e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Sm,0.000146,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Eu,0.000177,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Gd,0.000148,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Tb,0.000409,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Dy,0.000549,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Ho,0.000972,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Er,0.00133,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Yb,0.00175,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Lu,0.00172,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Am,0.0383,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.3,293.15,240,min,
Y,8.08e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
La,4.97e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Ce,6.92e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Pr,5.67e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Nd,0.000115,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Sm,3.06e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Eu,0.000444,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Gd,0.000326,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Tb,0.000906,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Dy,0.00157,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Ho,0.0027,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Er,0.00389,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Yb,0.00486,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Lu,0.00483,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Am,0.0942,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.5,293.15,240,min,
Y,0.000358,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
La,6.69e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Ce,0.000114,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Pr,0.00017,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Nd,0.000366,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Sm,0.0012,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Eu,0.00173,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Gd,0.00132,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Tb,0.00435,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Dy,0.00702,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Ho,0.0127,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Er,0.0191,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Yb,0.0232,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Lu,0.0225,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Am,0.342,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.005,,,"kerosene/n-octan-1-ol, 7:3",HNO3,1.0,293.15,240,min,
Y,5.84e-05,"2,6'-bis(tetrapentyl-1,2,4-triazin-3-yl)-2',6-bis-pyridine",C5BTBP,0.01,,,"kerosene/n-octan-1-ol, 7:3",HNO3,0.1,293.15,240,min,
